compound,CmpdID,Pathway,parent,medRt,C_D0,C_D7,C_D14,C_D21,C_D28,C_D35,C_D42,G1_D0,G3_D0,G4_D0,G5_D0,G6_D0,G7_D0,G1_D7,G3_D7,G4_D7,G5_D7,G6_D7,G7_D7,G1_D14,G3_D14,G4_D14,G5_D14,G6_D14,G7_D14,G1_D21,G3_D21,G4_D21,G5_D21,G6_D21,G7_D21,G1_D28,G3_D28,G4_D28,G5_D28,G6_D28,G7_D28,G1_D35,G3_D35,G4_D35,G5_D35,G6_D35,G7_D35,G1_D42,G3_D42,G4_D42,G5_D42,G6_D42,G7_D42,Median Ctrl day 0,Median D0,Median D7,Median D14,Median D21,Median D28,Median D35,Median D42,FC42/0 ,pvalue
dihydroxy-octadecanoic acid,LMFA01050198,oxi-Lipids,315.2536,6.928418,612705.5,485536.4,1230545,1550130,2356599,2075979,2814291,379005.9,253460.5,601142,309870.4,221423.7,289163.5,780367.3,621054,1006785,2290400,492261,6226784,1013283,828690.9,1337857,981364.5,1003797,1210000,1465079,1220683,1732956,1595824,2017440,1511281,2216076,1659623,2216292,1650307,1225414,1451562,1511672,1535215,2257022,1947614,1465421,2024249,2076237,2175067,2624303,2061228,2282687,2442174,612705.5,299516.95,893576.15,1008540,1.55E+06,1654965,1741414.5,2.23E+06,7.44E+00,1.47E-06
hydroxy-dodecanedioic acid,LMFA01170089,oxi-Lipids,245.1389,5.972246,74470.84,34194.68,25715.84,21467.71,20528.17,23225.27,23461.53,75883.06,70696.51,52727.68,61319.51,51243.67,52085.94,49400.57,41352.88,37563.45,30051.12,12765.79,29904.58,26643.32,22688.85,20286.23,18016.47,3418.354,24068.39,18718.3,15893.78,20309.17,18801.81,20923.58,20694.31,16840.53,14304.74,16332.39,16030.68,1408.749,19400.87,776.8828,18617.09,18256.22,16808.74,19665.23,13571.59,15059.84,16180.03,19208.09,15612.18,1619.552,17465.26,74470.84,57023.595,33807.285,21487.54,1.96E+04,16181.535,17532.48,1.59E+04,2.79E-01,0.000136244
dihydroxy-hexadecanoic acid,LMFA01050340,oxi-Lipids,287.2226,6.556158,63931.89,14477.08,27839.23,30382.68,35840.84,41603.42,39136.36,72025.3,14849.04,39767.88,18426.07,8599.398,13630.86,18302.53,16053.24,19664.67,37222.27,9945.577,68140.96,23057.73,8071.41,25531.22,27690.4,0,25744.86,22985.77,25382.61,29964.85,25586.79,34455.51,27954.69,30779.86,31749.33,36169.67,34963.47,27928.13,27121.8,29060.02,29104.08,35151.57,36174.83,23824.59,31276.71,28735.14,31081.95,31615.88,31770.28,30458.81,30870.89,63931.89,16637.555,18983.6,24294.475,2.68E+04,31264.595,30190.395,3.10E+04,1.86E+00,0.789082016
trihydroxy-octadecenoic acid,LMFA01050134,oxi-Lipids,329.2329,6.474147,3319755,2058007,3019138,3170732,4063954,4749362,4812054,1410254,1880971,4420277,2316830,1591848,2233587,2921023,2988160,3187577,6995008,1115685,8273540,2573657,2451000,2798273,2909917,2407686,2846454,2546429,2681969,2905395,3466126,3589474,3313251,3253168,3530341,3620255,3996760,3382229,3452727,3046529,3645013,3542305,4538918,3704204,3815723,3460389,4081766,3709710,4364388,4507562,4613816,3319755,2057279,3087868.5,2685965,3.11E+06,3491534,3674608.5,4.22E+06,2.05E+00,0.017725332
tetrahydroxy-octadecanoic acid,LMFA01050105,oxi-Lipids,347.2435,6.040755,442853.4,930536.8,2553496,3101473,3482676,4432904,4321282,483463.8,432180,610155.3,633668.5,442897.7,695300.9,2300850,1391919,2105862,946584.2,436577,2410886,3158177,2350370,3579226,2005044,2297643,2622215,3773282,3170860,4776232,2610078,3420050,2771737,4232468,3758208,5091880,3234221,3207972,3616897,4715717,4500742,6233188,3543330,3523705,4468871,5338212,4363152,6103586,3775579,3997450,4449860,442853.4,546809.55,1748890.5,2486292.5,3.30E+06,3687552.5,4484806.5,4.41E+06,8.06E+00,8.81E-05
3alpha-7alpha-12alpha-Trihydroxy-5beta-cholanate,C00695,Bile acids,407.2795,6.456674,73552.08,57394.39,80864.97,84684.9,60552.82,85010.8,87288.89,40627.88,2181.3,2405.418,43296.36,1982.319,1110.558,127820.8,7143.458,999.8723,56521.28,1669.088,1925.544,100401.2,7492.945,667.3277,28962.72,5250.711,1805.364,110946.9,8605.062,632.0807,38609.82,543.3592,2065.116,66567.33,7344.544,458.9554,31422.32,2558.701,544.1837,89625.19,9281.421,492.2563,44829.86,4403.984,1570.982,113745.6,8826.48,1547.203,48758.14,5062.663,721.451,73552.08,2293.359,4534.501,6371.828,5.34E+03,4951.6225,6842.7025,6.94E+03,3.03E+00,0.273040216
Glycocholate,C01921,Bile acids,464.3007,6.169571,26217.07,42220.62,56466.71,54985.67,48646.3,58673.41,56106.17,29384.81,4875.784,1903.598,13534.23,26451.08,4468.968,233540.9,9424.376,6840.679,16085.99,11449.7,9705.771,172434,5676.548,3234.958,11227.75,35705.77,6328.32,168127.3,8932.547,5052.964,13602.25,5150.873,27125.92,140309.7,7896.637,2688.382,13916.38,24501.23,4385.573,157825.7,8445.37,6622.296,13133.29,24152.74,3143.075,151960.9,8038.643,3350.322,11387.6,30519.35,4623.72,26217.07,9205.007,10577.7355,8778.035,1.13E+04,10906.5085,10789.33,9.71E+03,1.06E+00,0.335531113
Taurocholate,C05122,Bile acids,514.2848,5.924778,13978.58,502.2661,391.6788,0,571.4005,0,0,41816.68,5995.518,1877.486,1040.563,0,0,0,995.9997,1018.337,0,0,0,0,1254.451,512.7466,0,0,0,0,731.6097,333.2256,605.9202,0,642.5562,0,0,666.8156,386.1523,0,0,0,353.5248,601.8156,0,358.176,0,294.7269,477.4659,506.4877,470.7436,342.4165,0,13978.58,1459.0245,0,0,4.70E+02,0,176.7624,4.07E+02,2.79E-01,0.28288068
Taurochenodeoxycholate,C05465,Bile acids,498.29,6.019894,406336.3,1364.424,1031.305,1560.206,1054.427,1778.516,3852.298,985951,192989,0,36826.31,21389.85,13981.94,1255.933,1183.89,0,3831.801,1245.325,558.3337,1204.359,2003.989,2165.358,4351.516,3919.125,1396.15,1975.599,1667.958,5440.634,5608.049,921.5341,1844.738,1400.418,4128.151,4611.527,3178.187,2776.869,2480.132,952.8807,4138.442,0,2692.376,3095.815,3189.345,2349.072,4890.218,6658.607,4301.725,4058.331,2223.531,406336.3,29108.08,1214.6075,2084.6735,1.91E+03,2977.528,2894.0955,4.18E+03,1.44E-01,0.253518896
3alpha-12alpha-Dihydroxy-5beta-cholanate,C04483,Bile acids,391.2853,6.450743,10858.68,1500.66,6381.697,0,4020.579,1827.379,2297.14,327403.4,4991.482,33941.96,3419.342,2213.151,6207.185,0,4592.89,1222.302,11204.09,1577.411,4261.948,0,0,0,0,0,5841.395,6196.93,8848.57,0,6243.795,3261.011,0,0,0,0,2868.194,425.103,1925.269,2751.128,5632.34,1850.542,2599.052,1511.121,961.4849,3020.865,6665.406,0,3490.298,440.7623,0,10858.68,5599.3335,2919.6795,0,4.73E+03,212.5515,2224.797,1.73E+03,3.09E-01,0.303508528
Glycodeoxycholate,C05464,Bile acids,448.3065,6.528492,105526.1,89692.4,104698,123955.8,69459.8,131487.9,128977.5,116923,36995.76,11632.83,137772.7,72524.98,25281.25,414770.5,61872.36,14870.98,192513.1,35727.23,62838.51,216913.2,39890.22,9780.045,69736.8,75154.15,28868.48,295708.1,42007.04,12743.02,87485.04,20054.12,57981.28,228457.4,31330.74,6869.55,81159.26,61867.16,19549.44,279520.9,39434.31,17151.82,132069.7,69592.05,22212.18,333883.2,57881.58,17694.81,121989.7,88391.12,28889.44,105526.1,54760.37,62355.435,54813.51,5.00E+04,46598.95,54513.18,7.31E+04,1.34E+00,0.297710505
Glycochenodeoxycholate,C05466,Bile acids,448.3066,6.170961,3116.323,10654.77,14773.55,10192.33,9162.741,11359.52,11696.86,33023.15,24872.11,4985.636,45097.56,3581.238,35430.44,71536.57,28443.27,7074.024,39457.23,3296.706,56644.62,63534.58,25538.36,8507.907,28225.54,9232.96,30217.25,60317.14,24013.91,7033.945,30128.62,27687.74,6676.547,51112.46,20032.31,6982.971,32952.14,8658.103,25021.43,53846.5,21035.71,8928.208,32506.24,7084.898,24936.83,54645.94,20894.64,7002.736,30423.14,5607.295,23732.82,3116.323,28947.63,33950.25,26881.95,2.59E+04,22526.87,22986.27,2.23E+04,7.71E-01,0.888490677
Sulfoglycolithocholate,C11301,Bile acids,511.2549,5.807192,3063.768,977.6967,6170.391,4995.449,5445.285,2654.3,4622.272,0,6045.789,5778.16,2955.535,3986.824,6621.871,3672.968,4412.964,5173.847,2549.339,1802.158,4703.293,3832.659,5294.85,5738.385,4633.972,6551.561,6796.611,4831.459,5026.803,6265.745,4261.191,4951.625,5599.367,3130.006,3312.875,2479.371,2515.288,3772.055,3187.375,2783.077,2835.122,4084.385,4136.866,3048.561,1161.946,2001.303,2462.137,3949.497,2652.619,2115.467,991.1569,3063.768,4882.492,4042.966,5516.6175,4.99E+03,3158.6905,2941.8415,2.29E+03,4.69E-01,0.141876916
11(R)-HPETE/Leukotriene B4 (isobars),C14820,Arachidonate metabolism,335.223,5.917972,1355.87,738.5903,2157.079,4803.921,4141.278,6560.215,6876.987,2305.368,1144.876,615.2251,738.3062,767.4599,1783.012,531.3554,1370.86,920.3432,606.7387,758.1416,0,531.0732,673.0613,4355.591,2606.558,1574.678,1844.806,641.23,1088.923,2956.681,3894.484,840.3206,4040.816,690.3625,977.1431,4699.182,2695.64,4375.797,2167.927,2844.288,2961.933,5061.125,4576.415,3921.327,4477.1,2317.935,3782.064,5678.172,6701.098,8138.572,4133.662,1355.87,956.16795,682.44015,1709.742,2.02E+03,2431.7835,4199.2135,4.91E+03,5.13E+00,0.016871896
Prostaglandin A2,C05953,Arachidonate metabolism,333.2068,6.904169,20585.74,3117.78,7025.605,3226.251,9329.036,1783.154,4298.484,18787.95,8934.287,16500.03,5011.722,6826.002,4769.241,8733.448,5666.045,3522.603,20249.92,9513.813,54241.43,7999.479,3643.979,5566.902,5201.958,2144.415,3023.747,5265.024,4052.574,5174.245,5089.029,6765.126,7736.227,9213.277,5400.153,7706.686,8836.836,3577.7,2677.679,2767.141,2446.839,2918.844,15023.58,2923.348,1684.656,7605.033,4690.872,3139.354,16030.73,5410.623,2690.999,20585.74,7880.1445,9123.6305,4422.9685,5.22E+03,6553.4195,2842.9925,5.05E+03,6.41E-01,0.361611615
Prostaglandin D2/E2/Thromboxane A2 (isobars),C00696,Arachidonate metabolism,351.2168,6.498256,35316.33,28605.97,56803.06,67106.74,82825.37,125688.8,144864.7,29074.97,14839.15,66458.21,21375.3,14688.87,29725.33,35577.88,39916.78,47395.12,90922.04,22356.88,164050.5,44978.82,49026.14,52273.71,50707.94,53865.62,69677.62,49324.34,53357.46,58545.89,76706.84,70520.88,72264.93,66394.4,76479.97,81731.02,91112.04,94688.4,84843.12,82631.5,92405.07,96912.71,120538.6,98455.21,113546.2,96795.12,119904.7,116603.5,129935.3,150536.6,148958.2,35316.33,25225.135,43655.95,51490.825,6.45E+04,83287.07,97683.96,1.25E+05,4.95E+00,0.000713947
Prostaglandin F2alpha/beta/D1 (isobars),C00639,Arachidonate metabolism,353.2329,6.597965,14193.13,1025.841,4522.04,773.1884,3332.366,683.6648,6212.323,17336.78,5280.858,7923.977,1506.078,3270.987,6178.789,1671.197,1206.032,1812.799,8232.351,2139.94,9317.9,914.6569,1451.041,5823.521,1172.37,5910.221,797.6977,1655.859,1431.036,1144.262,4307.984,1673.647,2820.472,3878.421,1092.056,3725.105,5133.638,733.9028,4034.758,1778.713,1065.239,2341.918,5891.691,5806.505,5511.382,5953.33,1710.725,5837.807,5960.805,8660.286,8197.353,14193.13,5729.8235,1976.3695,1311.7055,1.66E+03,3801.763,3926.65,5.96E+03,1.04E+00,0.748888497
Prostaglandin D3 (isobars),C13802,Arachidonate metabolism,349.204,8.239457,58551.84,2608.21,1996.958,2772.086,0,381.8845,501.1904,98693.71,220128.4,25615.77,4155.968,2434.606,2625.475,2237.168,2386.183,4644.681,43246.09,22977.74,5830.768,5436.841,2200.53,4307.462,3234.454,1436.644,1698.755,1683.843,2201.393,2052.292,1568.64,1308.727,954.1821,1911.481,1657.332,475.9986,0,927.1955,687.1516,854.93,705.1788,371.9998,0,388.4409,619.3284,394.6817,401.8466,540.9171,428.7842,367.8541,397.2088,58551.84,14885.869,5237.7245,2717.492,1.63E+03,807.17355,503.88465,4.00E+02,2.68E-02,0.161246977
Prostaglandin G2,C05956,Arachidonate metabolism,367.2151,8.066602,6201.2,24478.76,4463.304,1021.727,1183.002,610.6088,577.3908,104216.3,31789.82,2420.13,4067.173,13308.12,13201.51,16476.56,29882.86,100021.9,227011.9,119144.8,21591.86,2567.532,1979.551,2061.607,3281.973,1686.181,1100.614,1037.793,780.2861,1479.256,1372.359,1048.468,1954.945,1523.411,1001.403,2159.198,950.6492,812.2375,924.3588,805.9842,875.4932,924.1341,618.5493,850.928,759.6411,571.9554,1215.332,746.97,1025.617,507.9024,809.9833,6201.2,13254.815,64952.38,2020.579,1.21E+03,976.0261,828.4561,7.78E+02,5.87E-02,0.144546992
2-3-Dinor-8-iso prostaglandin F2alpha,C14794,Arachidonate metabolism,325.2015,6.383797,35146.61,15322.46,21860.44,19590.72,21777.03,24994.71,24003.71,26821.58,19418.87,33268.2,24794.51,18911.52,23078.15,19073.53,24205.24,21745.83,43627.55,15254.07,95696.41,21960.67,18940.48,16358.95,24147.77,17352.19,16046.5,16385.35,15313.29,17385.25,21889.59,21298.46,18568.53,18718.83,20445.65,20956.5,26397.44,14467.36,17017.21,17402.9,18234.89,20783.14,24731.7,16027.2,19117.28,16983,19009.71,18594.79,21190.17,16506.58,19607.73,35146.61,23936.33,22975.535,18146.335,1.80E+04,19582.24,18676.085,1.88E+04,7.86E-01,0.048234641
Thromboxane B2,C05963,Arachidonate metabolism,369.2267,6.087237,10413.66,18393.71,63652.56,76348.59,106593.1,112768.2,142913.7,8965.669,9909.68,15252.35,12271.85,12214.61,15493.47,31845.19,28302.37,38458.14,30596.74,17413.74,67751.53,80347.99,57306.08,94916.97,48438.64,64997.85,62131.36,99544.03,91895.84,122296.3,69688.66,101097.8,84289.93,125568.1,113585.9,164302,96681.32,98846.06,115974.9,136858.8,123107.8,182193.3,109286.6,120051.5,145953.1,177615.7,162263.6,211850.6,125585.9,143388,174611.1,10413.66,12243.23,31220.965,63564.605,9.57E+04,114780.4,129983.3,1.68E+05,1.38E+01,4.94E-05
Leukotriene A4,C00909,Arachidonate metabolism,317.2119,7.315943,3901.493,1147.014,1591.901,1406.904,2104.562,586.4899,1738.299,12019.36,2599.306,2283.066,2113.36,1209.812,1375.433,0,0,1131.968,5961.546,4392.89,3262.11,0,0,0,0,0,788.8396,730.0751,1010.427,1247.915,1278.262,4433.321,2831.224,1407.421,1034.599,1083.1,919.9152,885.6011,1041.461,599.8264,672.8513,846.7338,1579.429,1513.314,2347.951,1813.499,923.0762,991.2838,2882.251,3862.915,5549.306,3901.493,2198.213,2197.039,0,1.26E+03,1038.03,1180.0239,2.35E+03,1.07E+00,0.672094869
Leukotriene C4,C02166,Arachidonate metabolism,624.3023,7.569481,0,2914.5,4416.999,4639.054,1147.796,5901.779,9382.381,0,0,2143.659,3104.875,2205.875,5545.543,5765.369,13315.18,2172.077,0,0,0,2026.072,4124.897,4177.889,5938.121,1758.656,9952.745,11036.38,2969.908,6982.484,5688.987,1805.662,1565.782,1368.344,1418.274,1245.89,4620.583,950.0457,8823.878,7076.544,10284.03,7388.931,8933.593,2100.354,10809.39,20440.08,13934.3,5423.979,14561.6,5672.788,11553.71,,2174.767,1086.0385,4151.393,4.33E+03,1393.309,8161.262,1.27E+04,5.86E+00,0.016806956
Phthalate,C01606,Plasticizers,167.0333,7.003797,1565600,509146.8,15017420,20570470,26872690,36228760,38140530,1872055,2057068,171105.2,411354.5,467601.6,368016.1,607273.2,487622.6,404749,1024478,2588580,2588580,9780218,7353538,7434930,8560787,7305666,10386890,18335320,12413870,10446870,12963140,13394600,10082360,21571370,16261530,14529210,19684080,13944100,16329030,26902860,19639140,19617040,22885780,15320340,21467140,31881630,25036210,20670010,25554310,21960410,24536850,0,439478.05,815875.6,7997858.5,1.27E+07,16295280,20553140,2.48E+07,5.64E+01,1.13E-05
2-Ethylhexyl phthalate,C03343,Plasticizers,279.1581,6.991098,2531200,420479.8,34446400,52618710,66227660,89329920,92925340,2754754,3254600,199627.2,480963.8,675027.9,475035.3,582673.5,518458.4,459691.7,1187310,6211908,6211908,24111500,16747400,18114500,20511760,19324000,25452050,44234100,29898510,25732150,32354470,35120280,24799930,54062370,43720770,36384140,46786660,35515780,40175040,65597970,49255920,49234210,57597610,39622680,53633230,80964780,63511550,50725500,63155260,58157980,61658190,61658190,577995.85,884991.75,19917880,3.11E+07,41947905,51444575,6.24E+07,1.08E+02,1.48E-05
Di-n-propylphthalate,C14469,Plasticizers,251.1269,6.495784,12216.37,1643.854,154556.5,168336.5,196455.9,209711.4,230488.5,9155.172,4000.761,7699.971,14691.96,2604.947,11620.66,23264.59,7840.865,9537.948,17310.45,284781.6,284781.6,375935,235822.8,288345.5,352760.2,129034.8,264533.3,332566.8,193964.7,282454.8,364295.6,282048.9,134378.9,218571.2,219504.7,233749.1,378245,96532.93,240999.9,369975.4,0,317157.3,404873.9,91341.44,115911.8,307809.5,265720,254039.2,307533.2,115824.1,193709,193709,8427.5715,20287.52,276439.4,2.82E+05,226626.9,216534.55,2.60E+05,3.08E+01,0.000515916
Bis(2-ethylhexyl)phthalate,C03690,Plasticizers,391.283,6.728137,5407726,888988.7,2102862,107053400,156403100,149185400,179230800,6891898,8171252,430247.6,1089103,1355054,1087304,1348681,1143670,971282.8,2748304,58376240,58376240,0,1752983,0,104648500,143505600,122957500,117593200,141520800,129398900,134445700,172409100,139121800,143019700,141935500,157684900,166121700,170350500,188143000,154017300,139286300,159886300,170431900,251725100,209179000,191327400,195250600,195930300,193327000,217516600,237330100,237330100,1222078.5,2048492.5,53200741.5,1.37E+08,161903300,165159100,1.96E+08,1.60E+02,2.12E-06
Acetyl phosphate,C00227,Other/Tentative assignments,138.9788,1.68344,9939.774,13728.95,13497.44,7929.385,13402.12,6648.484,13229.77,12958.56,13664.54,16032.43,14116.95,30737.74,17983.61,12636.43,13652.02,5562.545,15019.26,14860.67,6498.327,5213.806,0,4128.828,5829.999,9727.831,6765.4,6259.877,6148.092,9299.401,7721.271,5759.771,9285.939,12540.03,8890.71,5755.776,6032.825,7103.748,0,6517.237,5714.113,7074.434,0,10488.32,4390.842,10568.04,6294.096,10903.58,4710.245,7726.02,8761.706,9939.774,15074.69,13144.225,5521.9025,6.99E+03,6568.2865,6115.675,8.24E+03,5.47E-01,0.023459059
2-Methyleneglutarate,C02930,Other/Tentative assignments,145.0492,1.301945,1579751,1579907,1943611,2823243,2701951,3180682,2123030,1130243,1179154,1726164,1284658,1620486,1426690,1937979,1390335,1904764,1543274,2050580,1665513,1819151,1875032,1848898,2485168,2102560,2249483,2767305,2613010,3188073,2428924,2402192,0,2464244,2382249,2453124,2875728,2305970,2704952,2279647,3087299,2273977,2010359,2376758,2401436,2182135,2620877,2917724,2449348,2669883,1958887,1579751,1355674,1785138.5,1988796,2.52E+06,2458684,2328202.5,2.54E+06,1.87E+00,0.000325935
6-Pyruvoyltetrahydropterin,C03684,Other/Tentative assignments,238.0915,1.52658,165140.2,92942.4,94715.16,121921.8,75657.23,52498.43,64291.57,342662,413109.5,388662.1,436456.8,77644.72,210572.2,221678.3,264992.8,283697.8,311255.9,64678.14,161195.4,206276.6,250358.8,265228.5,328357.6,85705.34,181950.2,292381.4,400456.4,331224.3,435126.9,273337.2,102792.1,218396.1,273819.3,279916,290838.7,80950.8,184070,207753,276199.5,118832,285820.5,69826.11,168222.1,201489,235083.7,114172.6,240679.2,41491.3,125179.5,165140.2,365662.05,243335.55,228317.7,3.12E+05,246107.7,187987.55,1.63E+05,4.47E-01,0.006960289
4-Aminobenzoate,C00568,Other/Tentative assignments,138.0545,1.41293,207372.4,252801.8,253465.2,311858.4,269752.1,243041.1,259614.9,935089.8,1248617,2136207,464752.2,561408.2,436457,750081.8,1004821,1903860,309814.1,572730.1,431482.2,730773,1042102,1712272,334010.2,670985.6,422897.3,838364.9,1176783,1870299,366318.5,476547.2,729482.7,760155.2,1009022,1864716,312925.2,603484.6,427897.4,749865.7,1009085,1695078,338291.5,618115.7,371272.7,632325.8,843800.2,1661877,273177,508100.5,340431.6,207372.4,748249,661405.95,700879.3,7.84E+05,681819.9,683990.7,5.70E+05,7.62E-01,0.014312874
Peptide tryptophan,C02732,Other/Tentative assignments,230.0951,1.417761,2334045,1612796,1402988,1116977,415615.5,371142.5,274722.1,977914.7,1210150,373308.7,1726457,349675.1,758373.2,414886.1,715789.7,334790.8,628973.4,593956.6,711013.8,579584.3,516659.1,421486.6,536540.3,559553.9,410009.5,246510,467608.5,179566.8,379264.7,427475.3,439782.4,214545.2,246442,91524.46,141961.5,205807.8,262141.8,146713.8,288814.8,92084.59,136000.7,194898,0,142750.3,168690.7,0,130972.8,0,72640.3,2334045,868143.95,611465,526599.7,4.03E+05,210176.5,141357.25,1.02E+05,1.17E-01,0.007944072
Methylenediurea,C06381,Other/Tentative assignments,133.0735,1.335083,1076761,605769.5,794414.1,1303481,1000320,891161.8,744666.2,1474325,1389030,1045192,829053.8,599472.8,0,1049839,845542.9,739986,707701.5,589387.1,555663.4,947709.3,905165.2,769324.3,663408.7,867897.3,919884.4,1581228,1483631,1300792,1111814,1151895,993238.5,1084038,1080772,0,873436.2,0,1070778,1177306,1211916,881430.9,842189.7,896405.5,980729,1104422,926582.2,841528.3,0,603849.2,0,1076761,937122.9,723843.75,886531.25,1.23E+06,972107.1,938567.25,7.23E+05,7.71E-01,0.061911408
3-Oxalomalate,C01990,Other/Tentative assignments,207.0137,1.199213,2470387,1870050,1490689,1557147,1220118,967242.2,816126.1,2620765,2514845,1676311,1844831,1764915,2057587,1991639,1546760,1394757,1415516,1661486,1144725,1364049,1334484,1009504,1143199,1542385,1257759,1373551,1286254,934246.1,1049117,1060464,1322304,1072028,1025330,741214.8,728957.5,1087453,852607,789509.2,886099.2,544098.7,595367.1,907099.2,694473.8,662170.9,723995.8,507079.2,489717.5,643984.2,488124,2470387,1951209,1481138,1296121.5,1.17E+06,938968.5,741991.5,5.76E+05,2.95E-01,0.00011781
2-Deoxy-alpha-D-glucoside,C03573,Other/Tentative assignments,164.0668,0.9469807,895022.2,354267.2,342240,460402.3,312594.7,370918.5,315443.6,752981.6,978659.4,841824,683045.1,541749.3,590601.9,551247.1,592840.5,524430.1,540278.6,564506.2,445468.9,421233.3,416275,402179.5,346963.2,516790.4,374650.5,521453,565144.9,522577.1,478954.2,378436.6,458481.9,301944.2,387442.4,434768.5,315236.5,427204,300764.7,335818.2,384380.2,340814.5,369346.5,324065.2,318964.4,316052.8,358885,301963.6,296621.1,314103,223873.3,895022.2,718013.35,545762.85,409227.25,5.00E+05,351339.45,338316.35,3.08E+05,4.29E-01,0.00061342
cis-p-Coumarate,C06738,Other/Tentative assignments,165.0542,1.404603,1987042,0,1331879,0,1181230,0,0,1548820,889853.3,482776.5,1153145,0,733354.6,0,625225.8,481396.7,0,664456,849665.2,0,0,722913.2,548672.8,851702.8,554301,995210.8,790468.5,606839.2,860220.3,839297.2,1200812,826612.7,712572.3,529139.6,694927.7,0,617316.5,0,677318.3,0,767056.7,842085,0,824205.9,564230.2,481679.2,640713.6,622718.1,0,1987042,811603.95,553311.25,551486.9,8.50E+05,656122.1,338659.15,5.93E+05,7.31E-01,0.245724288
N6-Methyl-L-lysine,C02728,Other/Tentative assignments,161.1279,1.518928,396880,314717.3,310568.7,382251,374072.4,338553.6,332662.6,374348.7,324689.5,351753.4,358833.2,323341.6,335317.6,304979.3,317743,344312,356821.1,0,329656.6,302077.8,337662.5,304942.5,304487.8,338995.5,268272.7,354166.3,341765.5,422839.1,355331.9,385450.2,342080.9,340858.5,351315,360242.2,300736.5,364840.3,380202.4,330242.5,295003.4,383938.6,352806.7,357079.4,334316.1,301362.4,339324.2,336314.9,332734.1,317633.9,322275,396880,343535.5,323699.8,304715.15,3.55E+05,355778.6,343561.4,3.28E+05,9.53E-01,0.160216578
Muramic acid,C06470,Other/Tentative assignments,252.1074,1.47517,392210.9,330199.4,405983.2,470867.9,356461.5,468330.2,379234.8,291604.4,248733.4,226663.3,254491.8,152589.2,213938.3,96033.23,189911.9,202208.2,126385,151408.7,174910.5,183250.3,106443.8,301955.5,169494.4,319817.9,21602.8,157283.3,117668.9,298750.2,212781.2,282372.3,470750.4,153909.6,126010.9,338912.7,195611.9,213827.5,90735.25,206256.1,167699.9,83903.83,290842.5,189581.4,119685.2,141216.1,265225.1,107944,35641.94,146672.3,89600.16,392210.9,237698.35,163159.6,176372.35,2.48E+05,174760.75,178640.65,1.25E+05,5.24E-01,0.040526752
Dethiobiotin,C01909,Other/Tentative assignments,215.1385,1.28311,81709.38,122205.7,96231.6,150859.1,141328.6,132358.5,122317.4,129842.4,102364.2,183180.5,144610.5,135990.2,147882.9,122323.2,133557.6,122357.3,99258.29,134372.4,91128.54,114518.2,108504.3,100987.1,119527.1,148491.4,105268.8,156983,172947.2,138085.2,164264.5,148030.1,177405.3,134186.8,128451.6,125329.3,106377.5,192561.2,161906.3,146024.2,159234.8,124516.3,146727,155638.6,132584.4,154592.9,123799.5,126541.6,149555,156514.8,123790.6,81709.38,140300.35,122340.25,111511.25,1.61E+05,131319.2,146375.6,1.38E+05,9.84E-01,0.913755889
L-2-Aminoadipate,C00956,Other/Tentative assignments,162.0756,1.275832,118723.6,170244.5,128981.8,180700.7,119617.5,94470.56,80194.26,87000.47,147194.6,134384.7,128062.1,109044.4,113840.2,131406.1,151238.9,138946.9,138032.6,126484.4,111043.5,144862.6,146661,135076.2,127483.5,119581.2,119874,189549.1,173112.2,160590.9,150336,114445.6,137140.5,120724.7,96936.48,119117.1,91370.74,123209.4,100493.6,119647.6,105906.5,90495.78,85197.84,104163.1,93551.35,79862.95,0,68285.4,82610.17,69285.02,75897.51,118723.6,120951.15,134719.35,131279.85,1.55E+05,109805.35,98857.225,7.26E+04,6.00E-01,0.032818339
Threonate,C01620,Other/Tentative assignments,137.0454,1.274025,2339425,3111496,6336020,24844930,32694400,39918600,46977700,2499269,3049948,1311626,1273065,1358870,940554.2,1799634,2451551,2065290,1929883,1255622,1109785,1486872,1775807,4744468,3047228,6181162,4081808,9478229,9440545,16570030,11709850,13624800,20611110,18258730,16133580,25649090,16367920,31841100,25545640,31499560,26770920,32896990,26348040,43565490,39429690,38501910,27964820,40803800,34715140,42017760,41892080,2339425,1335248,1864758.5,3564518,1.27E+07,21902185,32198275,3.97E+07,2.97E+01,2.96E-05
3-Phospho-D-erythronate,C03356,Other/Tentative assignments,214.9934,1.14645,0,0,0,0,4584.863,0,0,0,0,0,0,0,0,0,3709.445,0,5428.258,0,0,6857.349,0,8751.853,0,4926.501,0,3533.206,10705.75,0,9342.019,3936.78,4302.106,4943.113,0,7280.179,7551.877,9601.465,3588.065,4014.99,0,0,44057.63,4666.595,7405.225,0,106477.5,0,72486.93,0,54255.83,0,0,0,2463.2505,4.12E+03,6111.646,4340.7925,2.71E+04,#ΔΙΑΙΡ/0!,0.091986707
