compound,CmpdID,Pathway,parent,medRt,C_D0,C_D7,C_D14,C_D21,C_D28,C_D35,C_D42,G1_D0,G3_D0,G4_D0,G5_D0,G6_D0,G7_D0,G1_D7,G3_D7,G4_D7,G5_D7,G6_D7,G7_D7,G1_D14,G3_D14,G4_D14,G5_D14,G6_D14,G7_D14,G1_D21,G3_D21,G4_D21,G5_D21,G6_D21,G7_D21,G1_D28,G3_D28,G4_D28,G5_D28,G6_D28,G7_D28,G1_D35,G3_D35,G4_D35,G5_D35,G6_D35,G7_D35,G1_D42,G3_D42,G4_D42,G5_D42,G6_D42,G7_D42,Median Ctrl day 0,Median D0,Median D7,Median D14,Median D21,Median D28,Median D35,Median D42,FC42/0 ,pvalue
Hexanoic acid (caproate),C01585,Saturated Fatty acids,115.0748,6.108228,10302.61,3924.541,1847.309,2688.697,1893.17,3741.043,3240.515,5013.91,7400.021,8977.377,3190.281,4885.505,0,5015.022,6659.227,3941.312,4062.536,1928.101,7092.729,4336.516,647.7542,4501.65,2428.181,4873.334,3325.857,2242.032,3006.302,3423.586,1434.234,1958.279,3884.189,889.4589,3075,1286.022,2874.657,3610.572,3639.377,751.0185,3579.607,2427.28,2750.333,5203.501,2338.847,3166.374,3641.85,1563.37,3917.175,2425.063,2502.416,10302.61,4949.7075,4538.779,3831.1865,2.62E+03,2974.8285,2588.8065,2.83E+03,5.73E-01,0.209477311
Heptanoic acid,C17714,Saturated Fatty acids,129.0906,5.935004,35765.18,36648.21,69271.98,59061.37,51369.72,63203.21,59977.08,32264.62,38721.14,52211.24,44844.45,29893.34,54747.45,51116.31,56947.23,55053.5,55467.32,23763.53,66201.58,58425.39,53802.54,62174.01,57585.77,65950.31,60800.66,55891.57,57123.08,61571.55,65241.29,66707.56,58544.27,46224.08,55190.39,56091.03,63504.54,54952.89,58694.32,53772.82,60166.71,58575.85,61103.22,52845.75,59259.25,48484.43,60818.48,57153.77,56652.69,62652.81,55107.92,35765.18,41782.795,55260.41,59613.025,6.01E+04,55640.71,58917.55,5.69E+04,1.36E+00,0.028118171
Octanoic acid (caprylate),C06423,Saturated Fatty acids,143.1064,6.003143,23140.68,13072.14,10237.54,11650.96,10425.11,10037.97,12414.04,31829.45,23138.49,27113.06,23716.23,18669.1,24816.22,21320.05,18308.85,19838.31,15420.77,8302.712,13921.87,12795.44,9877.493,13189.57,13017.73,11610.32,12789.75,8395.732,11415.23,13370.16,10461.11,11846.46,6788.086,10113.08,9766.314,9926.329,13205,9750.729,10453.73,9899.382,11727.32,12026.71,12477.05,10663.11,8794.643,5406.684,10475.03,10389.23,13348.3,11566.02,10377.71,23140.68,24266.225,16864.81,12792.595,1.09E+04,10019.7045,11195.215,1.04E+04,4.30E-01,0.003009195
Decanoic acid (caprate),C01571,Saturated Fatty acids,171.1378,6.897492,3578.625,1239.284,3213.911,2590.172,1008.428,2254.396,1769.733,2066.503,1831.395,2727.103,2044.901,2141.673,1265.139,3039.458,1118.26,1109.336,0,1860.425,0,1265.627,2533.113,1220.275,2178.024,2075.744,3835.79,1879.082,3039.343,1624.448,879.6432,2508.347,3432.157,1586.124,1834.001,1857.502,2967.17,2180.839,1736.32,1539.842,3043.589,1806.137,1677.55,1687.622,2077.961,2107.935,2845.7,1341.848,1937.575,3275.395,2219.994,3578.625,2055.702,1113.798,2126.884,2.19E+03,1845.7515,1746.8795,2.16E+03,1.05E+00,0.517874015
Dodecanoic acid,C02679,Saturated Fatty acids,199.1695,5.978651,2306.062,0,1013.269,526.3498,657.2734,0,0,0,5081.841,839.7949,3887.655,1425.447,1412.325,758.3178,1470.777,692.4123,2168.799,0,1734.566,1179.853,1733.682,768.4221,800.3061,1178.55,969.6235,501.5292,3333.236,434.2458,845.4733,450.9927,1673.323,627.9792,1107.795,0,827.7608,573.3306,522.4116,673.0756,1429.39,0,432.6676,912.2068,507.4725,261.6369,2171.806,0,305.126,1325.947,485.5507,2306.062,1418.886,1114.5474,1074.08675,6.74E+02,600.6549,590.27405,3.95E+02,2.79E-01,0.086173851
Tetradecanoic acid,C06424,Saturated Fatty acids,227.201,6.082146,6597.737,10940.84,23172.79,23366.61,24298.82,23425.49,23263.01,24625.78,5041.667,8976.896,8943.308,7668.309,3691.575,14315.69,12849.02,23363.77,10800,6703.35,8694.864,17564.36,19919.61,27991.57,15786.34,14141.06,11402.67,19605.81,18116.97,27254.38,15987.95,10357.82,13672.16,13990.23,17682.87,29280.68,16874.47,13813.31,9001.304,13611.82,19275.83,33643.57,15830.01,15119.51,11549.58,16822.37,17316.07,30129.85,15377.86,12573.64,9085.933,6597.737,8305.8085,11824.51,16675.35,1.71E+04,15432.35,15474.76,1.61E+04,1.94E+00,0.129454595
Hexadecanoic acid,C00249,Saturated Fatty acids,255.2325,6.241641,343142.1,97063.51,184906.5,204940.3,148134.2,176627.1,202838.3,131118.8,162074.8,223753.9,157885.2,105464.9,97878.38,146791.4,199937.2,252371.9,65663.59,49050.93,47366.89,157169.6,180769,237698.9,140945.6,163527.1,120828.6,177230.5,210064.6,286061.9,172545,102021.4,127912.6,129175.5,151752,229100.4,135079.5,127948.9,102647.9,150125.9,239199.8,299939.3,199156,171600.8,137422.9,171244.5,222245.8,320809.2,199615.4,175182.8,142033.4,343142.1,144502,106227.495,160348.35,1.75E+05,132127.5,185378.4,1.87E+05,1.30E+00,0.001265305
Octadecanoic acid,C01530,Saturated Fatty acids,283.2639,6.446744,317563.2,62150.17,64904.81,104790,54916.96,74771.13,111479.2,273784.6,133763.6,245030.1,93135.09,64156.96,75970.06,112809.7,118396.4,149488,28327.07,19000.16,25622.53,77312.3,82010.85,105414.6,52769.72,59592.21,62295.26,133004.6,115458.3,130752.1,78953.76,46553.36,42828.49,64505.21,61868.11,91786.78,46802.22,41519.21,43453.79,76983.02,118050.2,157565,88814.93,67132.34,77254.02,135768.2,151127,225791.4,118944.1,74719.62,79114.09,317563.2,113449.345,70568.385,69803.78,9.72E+04,54335.165,83034.475,1.27E+05,1.12E+00,0.533856387
Tetradecenoic acid,C08322,Monounsaturated Fatty Acids,225.1854,6.015374,0,972.3748,939.1606,998.5943,1876.523,3509.799,1590.102,2761.052,5780.345,0,2463.973,1119.729,6618.873,1653.852,7050.578,1317.753,4842.477,855.465,7915.41,4689.994,7713.23,1634.396,4505.514,5233.789,8880.375,4486.411,7984.248,3013.358,6583.445,5501.172,4666.965,3051.687,8997.101,2668.671,5705.226,8113.893,6750.558,2700.577,8332.423,3034.025,5076.674,6658.3,7157.547,2898.267,6915.962,1914.773,4714.406,6832.128,5244.344,0,2612.5125,3248.1645,4961.8915,5.08E+03,6227.892,5867.487,4.98E+03,1.91E+00,0.156232155
Hexadecenoic acid,C08362,Monounsaturated Fatty Acids,253.2169,6.133002,11696.83,9701.427,26779.07,23260.03,19232.71,17419.86,19556.09,9754.398,11225.03,15933.75,14057.47,7100.818,12330.12,10487.47,16932.62,25269.38,10897.97,11246.8,18777.24,25939.21,25633.7,35453.99,23659,21688.29,24044.79,19636.59,25141.14,38692.12,22320.3,21629.41,16857.25,16319.41,18257.41,32149.83,17211.22,18523.92,21540.57,19203.27,23451.91,32887.36,21419.81,16342.72,22177.22,18774.43,24670.93,29221.12,20767.19,17090.87,19717.78,11696.83,11777.575,14089.71,24839.245,2.20E+04,18390.665,21798.515,2.02E+04,1.72E+00,0.000370255
