node1_id,node2_id,node1,node2,combined_score,neighborhood_score,coexpression_score,database_score,textmining_score
9606.ENSP00000366620,9606.ENSP00000252603,H6PD,PGLS,0.96,0.462,0.114716,0.9,0.204127
9606.ENSP00000405455,9606.ENSP00000226253,TKT,ALDOC,0.96,0.277,0.064,0.9,0.487
9606.ENSP00000360124,9606.ENSP00000223366,PGM1,GCK,0.959,0.112,0.9,0.585,0.0
-1.CID100000784,-1.CID100000929,hydrogen perox.,NADPH,0.958,0.9,0.595,0.0,0.0
9606.ENSP00000324105,9606.ENSP00000229239,ENO3,GAPDH,0.958,0.462,0.716,0.26,0.678
9606.ENSP00000377192,-1.CID100000757,G6PD,glycolic acid,0.958,0.8,0.8,0.0,0.0
9606.ENSP00000405455,9606.ENSP00000336927,TKT,ALDOA,0.958,0.277,0.064,0.9,0.454
-1.CID100000753,-1.CID100000783,glycerol,hydrogen,0.957,0.9,0.582,0.0,0.0
9606.ENSP00000405573,9606.ENSP00000280605,GPI,TKTL2,0.957,0.462,0.127,0.9,0.2
9606.ENSP00000377192,9606.ENSP00000366620,G6PD,H6PD,0.957,0.462,0.117521,0.9,0.144504
-1.CID100000757,-1.CID100000784,glycolic acid,hydrogen perox.,0.957,0.9,0.583,0.0,0.0
9606.ENSP00000366620,-1.CID100000930,H6PD,NADPH,0.956,0.618,0.8,0.462,0.0
9606.ENSP00000369134,9606.ENSP00000280704,PDHA1,LDHC,0.952,0.087,0.9,0.518,0.0
9606.ENSP00000377192,-1.CID100000784,G6PD,hydrogen perox.,0.952,0.7,0.845,0.0,0.0
9606.ENSP00000405573,9606.ENSP00000346643,GPI,HKDC1,0.952,0.125,0.9,0.497,0.0
9606.ENSP00000320171,9606.ENSP00000302393,PKM,LDHAL6B,0.951,0.112,0.219,0.9,0.381
-1.CID100000929,-1.CID100000930,NADPH,NADPH,0.951,0.9,0.138336,0.0,0.0
9606.ENSP00000229319,9606.ENSP00000226253,LDHB,ALDOC,0.95,0.179,0.8,0.725,0.0
9606.ENSP00000336927,9606.ENSP00000229319,ALDOA,LDHB,0.949,0.179,0.8,0.715,0.0
9606.ENSP00000280704,9606.ENSP00000226253,LDHC,ALDOC,0.949,0.157,0.8,0.726,0.0
9606.ENSP00000363988,9606.ENSP00000321259,ALDOB,TALDO1,0.948,0.109,0.9,0.468,0.0
9606.ENSP00000320171,-1.CID100001003,PKM,phosphate,0.948,0.835,0.696,0.0,0.0
9606.ENSP00000359991,9606.ENSP00000336927,PGAM1,ALDOA,0.948,0.213,0.097,0.8,0.681
9606.ENSP00000363988,9606.ENSP00000280704,ALDOB,LDHC,0.947,0.157,0.8,0.712,0.0
9606.ENSP00000336927,9606.ENSP00000280704,ALDOA,LDHC,0.947,0.157,0.8,0.715,0.0
-1.CID100000930,-1.CID100001003,NADPH,phosphate,0.947,0.9,0.485,0.0,0.0
9606.ENSP00000336927,9606.ENSP00000321259,ALDOA,TALDO1,0.946,0.109,0.9,0.443,0.0
9606.ENSP00000320171,9606.ENSP00000229239,PKM,GAPDH,0.946,0.284,0.474,0.644,0.647
9606.ENSP00000297283,9606.ENSP00000226253,PGAM2,ALDOC,0.945,0.213,0.097,0.8,0.664
9606.ENSP00000363988,9606.ENSP00000229319,ALDOB,LDHB,0.945,0.179,0.8,0.693,0.0
9606.ENSP00000366620,9606.ENSP00000321259,H6PD,TALDO1,0.944,0.608,0.278,0.572,0.592
9606.ENSP00000321259,9606.ENSP00000226253,TALDO1,ALDOC,0.944,0.109,0.9,0.429,0.0
9606.ENSP00000369134,9606.ENSP00000229319,PDHA1,LDHB,0.944,0.087,0.9,0.44,0.0
9606.ENSP00000359991,9606.ENSP00000226253,PGAM1,ALDOC,0.943,0.213,0.097,0.8,0.651
9606.ENSP00000336927,9606.ENSP00000297283,ALDOA,PGAM2,0.943,0.213,0.097,0.8,0.65
9606.ENSP00000369134,9606.ENSP00000280706,PDHA1,LDHAL6A,0.943,0.087,0.9,0.427,0.0
-1.CID100001003,-1.CID100002524,phosphate,calcitriol,0.943,0.943,0.0,0.0,0.0
9606.ENSP00000405573,9606.ENSP00000280704,GPI,LDHC,0.943,0.113,0.142,0.8,0.674
9606.ENSP00000324105,9606.ENSP00000222286,ENO3,GAPDHS,0.942,0.462,0.716,0.26,0.55
9606.ENSP00000369134,9606.ENSP00000302393,PDHA1,LDHAL6B,0.94,0.087,0.9,0.395,0.0
9606.ENSP00000280605,9606.ENSP00000226253,TKTL2,ALDOC,0.94,0.277,0.064,0.9,0.219
9606.ENSP00000359991,9606.ENSP00000229239,PGAM1,GAPDH,0.939,0.262,0.778,0.661,0.0
9606.ENSP00000363988,9606.ENSP00000297283,ALDOB,PGAM2,0.939,0.213,0.097,0.8,0.625
9606.ENSP00000405573,9606.ENSP00000222286,GPI,GAPDHS,0.938,0.126,0.289,0.8,0.561
9606.ENSP00000292432,9606.ENSP00000226253,HK3,ALDOC,0.938,0.073,0.8,0.696,0.0
9606.ENSP00000363988,9606.ENSP00000292432,ALDOB,HK3,0.938,0.073,0.8,0.692,0.0
9606.ENSP00000336927,9606.ENSP00000280605,ALDOA,TKTL2,0.937,0.277,0.064,0.9,0.18
-1.CID100000929,-1.CID100005839,NADPH,aldosterone,0.937,0.9,0.391,0.0,0.0
9606.ENSP00000223366,-1.CID100000753,GCK,glycerol,0.937,0.926,0.17,0.0,0.0
9606.ENSP00000295266,9606.ENSP00000280706,PDHA2,LDHAL6A,0.932,0.087,0.9,0.317,0.0
9606.ENSP00000295266,9606.ENSP00000229319,PDHA2,LDHB,0.932,0.087,0.9,0.317,0.0
9606.ENSP00000302393,9606.ENSP00000295266,LDHAL6B,PDHA2,0.932,0.087,0.9,0.317,0.0
-1.CID100000783,-1.CID100005839,hydrogen,aldosterone,0.932,0.9,0.346,0.0,0.0
9606.ENSP00000405455,9606.ENSP00000360124,TKT,PGM1,0.931,0.178,0.9,0.23,0.0
9606.ENSP00000359991,-1.CID100001003,PGAM1,phosphate,0.931,0.9,0.334,0.0,0.0
9606.ENSP00000363988,9606.ENSP00000280605,ALDOB,TKTL2,0.931,0.277,0.064,0.9,0.102
9606.ENSP00000384774,9606.ENSP00000226253,HK1,ALDOC,0.93,0.073,0.8,0.653,0.0
9606.ENSP00000363988,9606.ENSP00000359991,ALDOB,PGAM1,0.93,0.213,0.097,0.8,0.567
9606.ENSP00000384774,9606.ENSP00000371393,HK1,PGM2,0.93,0.113,0.9,0.274,0.0
9606.ENSP00000360124,9606.ENSP00000336927,PGM1,ALDOA,0.93,0.458,0.8,0.409,0.0
9606.ENSP00000363988,9606.ENSP00000223366,ALDOB,GCK,0.929,0.073,0.8,0.651,0.0
-1.CID100000076,-1.CID100001003,DHEA,phosphate,0.929,0.9,0.315,0.0,0.0
9606.ENSP00000336927,9606.ENSP00000292432,ALDOA,HK3,0.929,0.073,0.8,0.649,0.0
9606.ENSP00000290573,9606.ENSP00000226253,HK2,ALDOC,0.929,0.073,0.8,0.649,0.0
9606.ENSP00000405455,9606.ENSP00000371393,TKT,PGM2,0.929,0.101,0.9,0.278,0.0
9606.ENSP00000405573,9606.ENSP00000342032,GPI,BPGM,0.929,0.288,0.8,0.546,0.0
9606.ENSP00000222286,-1.CID100000753,GAPDHS,glycerol,0.929,0.923,0.1,0.0,0.0
9606.ENSP00000371393,9606.ENSP00000290573,PGM2,HK2,0.928,0.113,0.9,0.255,0.0
9606.ENSP00000371393,9606.ENSP00000292432,PGM2,HK3,0.928,0.113,0.9,0.261,0.0
9606.ENSP00000321259,9606.ENSP00000320171,TALDO1,PKM,0.928,0.073,0.243,0.8,0.55
-1.CID100000600,-1.CID100000929,6-phosphog.nol.,NADPH,0.927,0.9,0.292,0.0,0.0
9606.ENSP00000384774,9606.ENSP00000363988,HK1,ALDOB,0.927,0.073,0.8,0.638,0.0
-1.CID100000929,-1.CID100023925,NADPH,Fe(III,0.927,0.9,0.294,0.0,0.0
9606.ENSP00000384774,9606.ENSP00000336927,HK1,ALDOA,0.927,0.073,0.8,0.639,0.0
9606.ENSP00000336927,9606.ENSP00000290573,ALDOA,HK2,0.926,0.073,0.8,0.637,0.0
9606.ENSP00000226253,9606.ENSP00000223366,ALDOC,GCK,0.926,0.073,0.8,0.633,0.0
9606.ENSP00000360124,9606.ENSP00000226253,PGM1,ALDOC,0.925,0.458,0.8,0.367,0.0
-1.CID100000753,-1.CID100000929,glycerol,NADPH,0.925,0.9,0.281,0.0,0.0
9606.ENSP00000342032,-1.CID100001003,BPGM,phosphate,0.924,0.9,0.267,0.0,0.0
9606.ENSP00000280605,9606.ENSP00000229239,TKTL2,GAPDH,0.924,0.462,0.075,0.8,0.334
9606.ENSP00000360124,9606.ENSP00000344818,PGM1,UBC,0.924,0.923,0.043,0.0,0.0
9606.ENSP00000405455,9606.ENSP00000222286,TKT,GAPDHS,0.923,0.462,0.075,0.8,0.323
-1.CID100000783,-1.CID100000929,hydrogen,NADPH,0.923,0.9,0.262,0.0,0.0
9606.ENSP00000280605,9606.ENSP00000222286,TKTL2,GAPDHS,0.923,0.462,0.075,0.8,0.324
9606.ENSP00000363988,9606.ENSP00000290573,ALDOB,HK2,0.922,0.073,0.8,0.614,0.0
-1.CID100000753,-1.CID100000930,glycerol,NADPH,0.921,0.9,0.237,0.0,0.0
9606.ENSP00000344818,-1.CID100001003,UBC,phosphate,0.92,0.9,0.231,0.0,0.0
9606.ENSP00000377192,9606.ENSP00000360124,G6PD,PGM1,0.92,0.086,0.192,0.8,0.523
9606.ENSP00000371393,9606.ENSP00000223366,PGM2,GCK,0.92,0.113,0.9,0.175,0.0
-1.CID100000783,-1.CID100002524,hydrogen,calcitriol,0.919,0.9,0.22,0.0,0.0
-1.CID100000783,-1.CID100004139,hydrogen,methylene blue,0.919,0.9,0.217,0.0,0.0
9606.ENSP00000270776,-1.CID100000600,PGD,6-phosphog.nol.,0.918,0.9,0.212,0.0,0.0
-1.CID100000600,-1.CID100000930,6-phosphog.nol.,NADPH,0.918,0.9,0.209,0.0,0.0
9606.ENSP00000366620,-1.CID100000208,H6PD,alpha-D-Glucose,0.918,0.9,0.21,0.0,0.0
9606.ENSP00000360124,9606.ENSP00000280605,PGM1,TKTL2,0.917,0.178,0.9,0.072,0.0
9606.ENSP00000371393,9606.ENSP00000280605,PGM2,TKTL2,0.917,0.101,0.9,0.151,0.0
9606.ENSP00000405455,9606.ENSP00000223366,TKT,GCK,0.917,0.092,0.8,0.583,0.0
-1.CID100000208,-1.CID100001003,alpha-D-Glucose,phosphate,0.917,0.9,0.196,0.0,0.0
9606.ENSP00000280706,9606.ENSP00000226253,LDHAL6A,ALDOC,0.916,0.179,0.8,0.531,0.0
9606.ENSP00000321259,9606.ENSP00000270776,TALDO1,PGD,0.916,0.067,0.704,0.72,0.0
9606.ENSP00000405455,9606.ENSP00000270776,TKT,PGD,0.916,0.265,0.203,0.868,0.0
9606.ENSP00000336927,9606.ENSP00000223366,ALDOA,GCK,0.916,0.073,0.8,0.585,0.0
9606.ENSP00000377192,9606.ENSP00000229319,G6PD,LDHB,0.916,0.073,0.389,0.8,0.351
9606.ENSP00000371393,9606.ENSP00000346643,PGM2,HKDC1,0.916,0.113,0.9,0.13,0.0
9606.ENSP00000280704,-1.CID100000783,LDHC,hydrogen,0.915,0.9,0.182,0.0,0.0
9606.ENSP00000352401,-1.CID100000930,RPE,NADPH,0.915,0.9,0.176,0.0,0.0
9606.ENSP00000405455,9606.ENSP00000324105,TKT,ENO3,0.915,0.289,0.8,0.451,0.0
9606.ENSP00000352401,-1.CID100000929,RPE,NADPH,0.915,0.9,0.178,0.0,0.0
9606.ENSP00000229319,-1.CID100000783,LDHB,hydrogen,0.915,0.9,0.182,0.0,0.0
9606.ENSP00000223366,-1.CID100000208,GCK,alpha-D-Glucose,0.914,0.9,0.166,0.0,0.0
-1.CID100000757,-1.CID100000783,glycolic acid,hydrogen,0.914,0.9,0.172,0.0,0.0
9606.ENSP00000270776,-1.CID100000783,PGD,hydrogen,0.914,0.9,0.17,0.0,0.0
9606.ENSP00000229239,-1.CID100000783,GAPDH,hydrogen,0.914,0.9,0.172,0.0,0.0
9606.ENSP00000297283,-1.CID100001003,PGAM2,phosphate,0.913,0.9,0.164,0.0,0.0
-1.CID100000076,-1.CID100000929,DHEA,NADPH,0.913,0.9,0.157,0.0,0.0
9606.ENSP00000346643,-1.CID100000208,HKDC1,alpha-D-Glucose,0.913,0.9,0.163,0.0,0.0
9606.ENSP00000270776,-1.CID100000930,PGD,NADPH,0.913,0.9,0.159,0.0,0.0
-1.CID100000930,-1.CID100005839,NADPH,aldosterone,0.912,0.9,0.15,0.0,0.0
9606.ENSP00000295266,9606.ENSP00000280605,PDHA2,TKTL2,0.912,0.091,0.8,0.557,0.0
9606.ENSP00000405455,9606.ENSP00000366620,TKT,H6PD,0.912,0.608,0.139,0.361,0.641
-1.CID100000930,-1.CID100023925,NADPH,Fe(III,0.911,0.9,0.139,0.0,0.0
-1.CID100000208,-1.CID100000600,alpha-D-Glucose,6-phosphog.nol.,0.911,0.9,0.039615,0.0,0.0
9606.ENSP00000363988,9606.ENSP00000360124,ALDOB,PGM1,0.911,0.458,0.8,0.251,0.0
9606.ENSP00000369134,-1.CID100000783,PDHA1,hydrogen,0.91,0.9,0.131,0.0,0.0
9606.ENSP00000320171,-1.CID100000753,PKM,glycerol,0.91,0.835,0.472,0.0,0.0
9606.ENSP00000295266,-1.CID100000783,PDHA2,hydrogen,0.91,0.9,0.131,0.0,0.0
9606.ENSP00000405573,9606.ENSP00000369134,GPI,PDHA1,0.909,0.093,0.8,0.54,0.0
9606.ENSP00000342032,-1.CID100000783,BPGM,hydrogen,0.909,0.9,0.122,0.0,0.0
9606.ENSP00000359991,-1.CID100000783,PGAM1,hydrogen,0.909,0.9,0.122,0.0,0.0
9606.ENSP00000342032,9606.ENSP00000336927,BPGM,ALDOA,0.909,0.114,0.075,0.8,0.511
9606.ENSP00000297283,-1.CID100000783,PGAM2,hydrogen,0.909,0.9,0.122,0.0,0.0
9606.ENSP00000377192,9606.ENSP00000292432,G6PD,HK3,0.909,0.07,0.8,0.55,0.0
9606.ENSP00000352401,-1.CID100000783,RPE,hydrogen,0.909,0.9,0.117,0.0,0.0
-1.CID100000076,-1.CID100000930,DHEA,NADPH,0.908,0.9,0.112,0.0,0.0
9606.ENSP00000377192,9606.ENSP00000321259,G6PD,TALDO1,0.908,0.462,0.157,0.633,0.515
9606.ENSP00000292432,-1.CID100000783,HK3,hydrogen,0.908,0.9,0.115,0.0,0.0
9606.ENSP00000252603,-1.CID100000930,PGLS,NADPH,0.908,0.9,0.109,0.0,0.0
9606.ENSP00000405455,9606.ENSP00000369134,TKT,PDHA1,0.908,0.091,0.8,0.536,0.0
9606.ENSP00000384774,-1.CID100000783,HK1,hydrogen,0.908,0.9,0.115,0.0,0.0
9606.ENSP00000290573,-1.CID100000783,HK2,hydrogen,0.908,0.9,0.115,0.0,0.0
9606.ENSP00000369134,-1.CID100001003,PDHA1,phosphate,0.908,0.9,0.11,0.0,0.0
9606.ENSP00000366620,-1.CID100001003,H6PD,phosphate,0.908,0.837,0.451,0.0,0.0
9606.ENSP00000223366,-1.CID100000783,GCK,hydrogen,0.908,0.9,0.115,0.0,0.0
9606.ENSP00000346643,-1.CID100000783,HKDC1,hydrogen,0.908,0.9,0.115,0.0,0.0
9606.ENSP00000366620,-1.CID100000783,H6PD,hydrogen,0.907,0.9,0.102,0.0,0.0
9606.ENSP00000252603,-1.CID100000783,PGLS,hydrogen,0.907,0.9,0.102,0.0,0.0
9606.ENSP00000359991,9606.ENSP00000320171,PGAM1,PKM,0.906,0.571,0.79,0.0,0.0
9606.ENSP00000320171,9606.ENSP00000297283,PKM,PGAM2,0.906,0.571,0.79,0.0,0.0
9606.ENSP00000405573,9606.ENSP00000270776,GPI,PGD,0.905,0.112,0.897,0.0,0.0
9606.ENSP00000359991,9606.ENSP00000342032,PGAM1,BPGM,0.905,0.02108,0.9,0.03256,0.0
9606.ENSP00000320171,9606.ENSP00000280605,PKM,TKTL2,0.904,0.279,0.24,0.8,0.229
9606.ENSP00000342032,9606.ENSP00000297283,BPGM,PGAM2,0.904,0.019499,0.9,0.028009,0.0
9606.ENSP00000324105,9606.ENSP00000321259,ENO3,TALDO1,0.904,0.289,0.8,0.383,0.0
9606.ENSP00000384774,9606.ENSP00000377192,HK1,G6PD,0.903,0.07,0.8,0.524,0.0
9606.ENSP00000377192,9606.ENSP00000290573,G6PD,HK2,0.902,0.07,0.8,0.516,0.0
9606.ENSP00000369134,9606.ENSP00000295266,PDHA1,PDHA2,0.901,0.00737800000000001,0.9,0.01204,0.0
9606.ENSP00000344818,9606.ENSP00000324105,UBC,ENO3,0.901,0.895,0.09,0.0,0.0
9606.ENSP00000377192,9606.ENSP00000223366,G6PD,GCK,0.901,0.07,0.8,0.51,0.0
-1.CID100000930,-1.CID100002524,NADPH,calcitriol,0.9,0.9,0.0,0.0,0.0
-1.CID100000757,-1.CID100000930,glycolic acid,NADPH,0.9,0.9,0.0,0.0,0.0
9606.ENSP00000222286,-1.CID100000783,GAPDHS,hydrogen,0.9,0.9,0.0,0.0,0.0
-1.CID100000600,-1.CID100000783,6-phosphog.nol.,hydrogen,0.9,0.9,0.0,0.0,0.0
-1.CID100000208,-1.CID100000783,alpha-D-Glucose,hydrogen,0.9,0.9,0.0,0.0,0.0
-1.CID100000208,-1.CID100023925,alpha-D-Glucose,Fe(III,0.9,0.9,0.0,0.0,0.0
-1.CID100000757,-1.CID100000929,glycolic acid,NADPH,0.9,0.9,0.0,0.0,0.0
9606.ENSP00000366620,9606.ENSP00000280605,H6PD,TKTL2,0.9,0.608,0.139,0.361,0.595
9606.ENSP00000302393,-1.CID100000783,LDHAL6B,hydrogen,0.9,0.9,0.0,0.0,0.0
9606.ENSP00000360124,-1.CID100000208,PGM1,alpha-D-Glucose,0.9,0.9,0.0,0.0,0.0
-1.CID100000929,-1.CID100002524,NADPH,calcitriol,0.9,0.9,0.0,0.0,0.0
-1.CID100000208,-1.CID100000930,alpha-D-Glucose,NADPH,0.9,0.9,0.0,0.0,0.0
9606.ENSP00000363988,9606.ENSP00000280706,ALDOB,LDHAL6A,0.9,0.179,0.8,0.443,0.0
9606.ENSP00000377192,-1.CID100000783,G6PD,hydrogen,0.9,0.9,0.0,0.0,0.0
9606.ENSP00000280706,-1.CID100000783,LDHAL6A,hydrogen,0.9,0.9,0.0,0.0,0.0
-1.CID100000208,-1.CID100000929,alpha-D-Glucose,NADPH,0.9,0.9,0.0,0.0,0.0
-1.CID100000076,-1.CID100000783,DHEA,hydrogen,0.9,0.9,0.0,0.0,0.0
9606.ENSP00000252603,-1.CID100000208,PGLS,alpha-D-Glucose,0.9,0.9,0.0,0.0,0.0
9606.ENSP00000252603,-1.CID100000929,PGLS,NADPH,0.9,0.9,0.0,0.0,0.0
9606.ENSP00000366620,9606.ENSP00000358931,H6PD,TKTL1,0.9,0.608,0.139,0.361,0.595
9606.ENSP00000320171,-1.CID100000783,PKM,hydrogen,0.9,0.9,0.0,0.0,0.0
9606.ENSP00000377192,9606.ENSP00000320171,G6PD,PKM,0.897,0.079,0.07,0.8,0.471
9606.ENSP00000324105,9606.ENSP00000280605,ENO3,TKTL2,0.897,0.289,0.8,0.336,0.0
9606.ENSP00000369134,9606.ENSP00000280605,PDHA1,TKTL2,0.896,0.091,0.8,0.476,0.0
9606.ENSP00000336927,9606.ENSP00000280706,ALDOA,LDHAL6A,0.896,0.179,0.8,0.42,0.0
9606.ENSP00000405455,9606.ENSP00000229319,TKT,LDHB,0.896,0.112,0.8,0.466,0.0
9606.ENSP00000377192,9606.ENSP00000346643,G6PD,HKDC1,0.895,0.07,0.8,0.484,0.0
9606.ENSP00000377192,-1.CID100004908,G6PD,primaquine,0.895,0.7,0.663,0.0,0.0
9606.ENSP00000405455,9606.ENSP00000359991,TKT,PGAM1,0.895,0.073,0.8,0.481,0.0
9606.ENSP00000336927,9606.ENSP00000302393,ALDOA,LDHAL6B,0.894,0.157,0.8,0.426,0.0
9606.ENSP00000366620,-1.CID100000929,H6PD,NADPH,0.894,0.8,0.484,0.0,0.0
9606.ENSP00000405455,9606.ENSP00000290573,TKT,HK2,0.894,0.092,0.8,0.465,0.0
9606.ENSP00000324105,9606.ENSP00000229319,ENO3,LDHB,0.893,0.074,0.381,0.828,0.0
9606.ENSP00000342032,9606.ENSP00000226253,BPGM,ALDOC,0.893,0.114,0.075,0.8,0.426
9606.ENSP00000405455,9606.ENSP00000280704,TKT,LDHC,0.892,0.112,0.8,0.44,0.0
9606.ENSP00000405455,9606.ENSP00000384774,TKT,HK1,0.891,0.092,0.8,0.451,0.0
9606.ENSP00000405573,9606.ENSP00000302393,GPI,LDHAL6B,0.888,0.113,0.142,0.8,0.354
9606.ENSP00000363988,9606.ENSP00000342032,ALDOB,BPGM,0.887,0.114,0.075,0.8,0.393
9606.ENSP00000324105,9606.ENSP00000280704,ENO3,LDHC,0.887,0.074,0.381,0.819,0.0
