node1_id,node2_id,node1,node2,combined_score,neighborhood_score,coexpression_score,database_score,textmining_score
9606.ENSP00000280706,9606.ENSP00000280605,LDHAL6A,TKTL2,0.845,0.112,0.8,0.202,0.0
9606.ENSP00000302393,9606.ENSP00000280605,LDHAL6B,TKTL2,0.845,0.112,0.8,0.202,0.0
9606.ENSP00000405455,9606.ENSP00000280706,TKT,LDHAL6A,0.845,0.112,0.8,0.202,0.0
9606.ENSP00000360124,9606.ENSP00000320171,PGM1,PKM,0.844,0.736,0.436,0.0,0.0
9606.ENSP00000297283,9606.ENSP00000280605,PGAM2,TKTL2,0.843,0.073,0.8,0.224,0.0
9606.ENSP00000229239,-1.CID100002524,GAPDH,calcitriol,0.843,0.842,0.0,0.0,0.0
9606.ENSP00000405455,9606.ENSP00000377192,TKT,G6PD,0.843,0.462,0.09,0.373,0.549
9606.ENSP00000405455,9606.ENSP00000342032,TKT,BPGM,0.843,0.073,0.8,0.224,0.0
9606.ENSP00000342032,9606.ENSP00000280605,BPGM,TKTL2,0.843,0.073,0.8,0.224,0.0
9606.ENSP00000405455,9606.ENSP00000346643,TKT,HKDC1,0.842,0.092,0.8,0.201,0.0
9606.ENSP00000292432,9606.ENSP00000280605,HK3,TKTL2,0.842,0.092,0.8,0.201,0.0
9606.ENSP00000346643,9606.ENSP00000280605,HKDC1,TKTL2,0.842,0.092,0.8,0.201,0.0
9606.ENSP00000280605,9606.ENSP00000223366,TKTL2,GCK,0.842,0.092,0.8,0.201,0.0
9606.ENSP00000384774,9606.ENSP00000280605,HK1,TKTL2,0.842,0.092,0.8,0.201,0.0
9606.ENSP00000290573,9606.ENSP00000280605,HK2,TKTL2,0.842,0.092,0.8,0.201,0.0
9606.ENSP00000342032,9606.ENSP00000321259,BPGM,TALDO1,0.841,0.08,0.8,0.206,0.0
9606.ENSP00000336927,-1.CID100001003,ALDOA,phosphate,0.839,0.795,0.239,0.0,0.0
9606.ENSP00000346643,9606.ENSP00000321259,HKDC1,TALDO1,0.839,0.8,0.232,0.0,0.0
9606.ENSP00000377192,9606.ENSP00000297283,G6PD,PGAM2,0.838,0.8,0.226,0.0,0.0
9606.ENSP00000377192,9606.ENSP00000359991,G6PD,PGAM1,0.838,0.8,0.226,0.0,0.0
9606.ENSP00000377192,9606.ENSP00000342032,G6PD,BPGM,0.838,0.8,0.226,0.0,0.0
9606.ENSP00000384774,9606.ENSP00000320171,HK1,PKM,0.837,0.112,0.11,0.81,0.0
9606.ENSP00000377192,-1.CID100002524,G6PD,calcitriol,0.836,0.7,0.471,0.0,0.0
9606.ENSP00000405455,9606.ENSP00000252603,TKT,PGLS,0.836,0.462,0.097,0.69,0.0
9606.ENSP00000371393,9606.ENSP00000321259,PGM2,TALDO1,0.833,0.102,0.8,0.145,0.0
9606.ENSP00000377192,9606.ENSP00000226253,G6PD,ALDOC,0.832,0.8,0.198,0.0,0.0
9606.ENSP00000377192,9606.ENSP00000363988,G6PD,ALDOB,0.832,0.8,0.198,0.0,0.0
9606.ENSP00000377192,9606.ENSP00000336927,G6PD,ALDOA,0.832,0.8,0.198,0.0,0.0
9606.ENSP00000363988,9606.ENSP00000336927,ALDOB,ALDOA,0.829,0.011067,0.159,0.8,0.015918
9606.ENSP00000377192,-1.CID153629505,G6PD,androgen,0.828,0.828,0.0,0.0,0.0
9606.ENSP00000377192,-1.CID100004139,G6PD,methylene blue,0.828,0.7,0.443,0.0,0.0
9606.ENSP00000371393,9606.ENSP00000336927,PGM2,ALDOA,0.828,0.072,0.8,0.147,0.0
9606.ENSP00000377192,-1.CID100005839,G6PD,aldosterone,0.826,0.826,0.0,0.0,0.0
9606.ENSP00000405573,-1.CID100000753,GPI,glycerol,0.825,0.795,0.17,0.0,0.0
9606.ENSP00000320171,9606.ENSP00000223366,PKM,GCK,0.825,0.112,0.11,0.797,0.0
9606.ENSP00000369134,9606.ENSP00000344818,PDHA1,UBC,0.824,0.823,0.0,0.0,0.0
9606.ENSP00000377192,9606.ENSP00000352401,G6PD,RPE,0.823,0.725,0.384,0.0,0.0
9606.ENSP00000369134,-1.CID100000753,PDHA1,glycerol,0.821,0.8,0.131,0.0,0.0
9606.ENSP00000377192,9606.ENSP00000358931,G6PD,TKTL1,0.82,0.462,0.09,0.373,0.483
9606.ENSP00000377192,9606.ENSP00000280605,G6PD,TKTL2,0.82,0.462,0.09,0.373,0.483
9606.ENSP00000297283,9606.ENSP00000229239,PGAM2,GAPDH,0.818,0.262,0.404,0.619,0.0
9606.ENSP00000352401,-1.CID100000753,RPE,glycerol,0.818,0.8,0.121,0.0,0.0
9606.ENSP00000371393,9606.ENSP00000363988,PGM2,ALDOB,0.816,0.072,0.8,0.092,0.0
9606.ENSP00000371393,9606.ENSP00000226253,PGM2,ALDOC,0.816,0.072,0.8,0.092,0.0
9606.ENSP00000229239,-1.CID100000784,GAPDH,hydrogen perox.,0.815,0.15,0.788,0.0,0.0
-1.CID100000208,-1.CID100000753,alpha-D-Glucose,glycerol,0.815,0.8,0.102,0.0,0.0
9606.ENSP00000280704,9606.ENSP00000229239,LDHC,GAPDH,0.81,0.157,0.784,0.0,0.0
9606.ENSP00000384774,9606.ENSP00000292432,HK1,HK3,0.81,0.021607,0.8,0.034276,0.0
9606.ENSP00000292432,9606.ENSP00000290573,HK3,HK2,0.809,0.018972,0.8,0.028872,0.0
9606.ENSP00000346643,9606.ENSP00000292432,HKDC1,HK3,0.808,0.022092,0.8,0.021756,0.0
9606.ENSP00000363988,9606.ENSP00000226253,ALDOB,ALDOC,0.805,0.011067,0.8,0.015918,0.0
9606.ENSP00000384774,9606.ENSP00000290573,HK1,HK2,0.804,0.00948600000000001,0.8,0.01566,0.0
9606.ENSP00000321259,-1.CID100000753,TALDO1,glycerol,0.803,0.755,0.218,0.0,0.0
9606.ENSP00000346643,9606.ENSP00000290573,HKDC1,HK2,0.802,0.01054,0.8,0.00276,0.0
9606.ENSP00000384774,9606.ENSP00000346643,HK1,HKDC1,0.802,0.010013,0.8,0.003553,0.0
9606.ENSP00000352401,-1.CID100023925,RPE,Fe(III,0.8,0.8,0.0,0.0,0.0
9606.ENSP00000229239,-1.CID100000753,GAPDH,glycerol,0.799,0.628,0.476,0.0,0.0
9606.ENSP00000297283,9606.ENSP00000222286,PGAM2,GAPDHS,0.796,0.262,0.404,0.574,0.0
-1.CID100000076,-1.CID100005839,DHEA,aldosterone,0.793,0.30927,0.0,0.0,0.0
-1.CID100004139,-1.CID100004908,methylene blue,primaquine,0.792,0.792,0.0,0.0,0.0
9606.ENSP00000226253,-1.CID100001003,ALDOC,phosphate,0.779,0.674,0.342,0.0,0.0
9606.ENSP00000363988,-1.CID100001003,ALDOB,phosphate,0.77,0.674,0.315,0.0,0.0
9606.ENSP00000320171,9606.ENSP00000222286,PKM,GAPDHS,0.77,0.284,0.474,0.439,0.0
9606.ENSP00000324105,-1.CID100000753,ENO3,glycerol,0.768,0.588,0.453,0.0,0.0
9606.ENSP00000321259,-1.CID100001003,TALDO1,phosphate,0.762,0.69,0.252,0.0,0.0
9606.ENSP00000371393,9606.ENSP00000344818,PGM2,UBC,0.762,0.754,0.071,0.0,0.0
9606.ENSP00000371393,9606.ENSP00000270776,PGM2,PGD,0.755,0.111,0.736,0.0,0.0
9606.ENSP00000270776,9606.ENSP00000223366,PGD,GCK,0.754,0.754,0.0,0.0,0.0
